machine_id,temperature,vibration,run_hours,pressure,failed
M001,72,0.42,1200,101,0
M002,88,0.71,3400,98,1
M003,65,0.30,800,105,0
M004,91,0.85,4100,95,1
M005,70,0.35,950,102,0
M006,84,0.65,3000,97,1
M007,60,0.25,600,107,0
M008,95,0.90,4600,93,1
M009,68,0.33,1100,103,0
M010,80,0.58,2500,99,0
M011,93,0.88,4300,94,1
M012,63,0.28,700,106,0
M013,86,0.68,3200,96,1
M014,71,0.38,1300,101,0
M015,90,0.82,3900,95,1
M016,66,0.31,900,104,0
M017,89,0.75,3700,97,1
M018,62,0.27,650,107,0
M019,78,0.52,2200,100,0
M020,94,0.91,4500,93,1
M021,69,0.34,1000,103,0
M022,85,0.66,3100,96,1
M023,64,0.29,750,105,0
M024,92,0.86,4200,94,1
M025,73,0.40,1400,101,0
M026,87,0.70,3500,97,1
M027,61,0.26,620,106,0
M028,96,0.93,4800,92,1
M029,67,0.32,950,104,0
M030,82,0.61,2800,98,0
